cust_id,acct_id,tran_date,transaction,tran_amt,starting_balance,ending_balance
654321,1,2021-09-24 22:17:11.590,w,500.00,1000.00,500.00
654321,2,2021-09-24 23:17:11.590,d,500.00,15000.00,15500.00
654321,1,2021-09-25 22:17:11.590,d,500.00,1000.00,1000.00
654321,1,2021-09-29 21:30:49.190,d,5000.0,1000.0,6000.0
654321,1,2021-09-29 21:32:18.058,d,25000.0,6000.0,31000.0
654321,1,2021-09-29 21:34:01.197,d,132000.0,31000.0,163000.0
654321,1,2021-09-29 21:35:17.364,d,12450.0,163000.0,175450.0
654321,1,2021-09-29 21:39:03.060,d,175000.0,175450.0,350450.0
654321,1,2021-09-29 21:42:32.352,d,0.5,350450.0,350450.5
654321,1,2021-09-29 21:42:55.453,w,350000.5,350450.5,450.0
654321,1,2021-10-02 20:23:19.192,d,501.0,450.0,951.0
654321,1,2021-10-02 20:23:41.670,w,950.0,951.0,1.0
